0 ['http://en.wikipedia.org/wiki/Roman_Catholic', 0.0010440121794789519]
1 ['https://en.wikipedia.org/wiki/Catholic_Church', 0.0010282624357159618]
2 ['https://en.wikipedia.org/wiki/Roman_Catholic', 0.0010021950381344587]
3 ['http://en.wikipedia.org/wiki/Catholic_Church', 0.0009448650214394943]
4 ['https://en.wikipedia.org/wiki/Category:African_Roman_Catholic_diocese_stubs', 0.0006268457149810439]
5 ['http://en.wikipedia.org/wiki/Category:African_Roman_Catholic_diocese_stubs', 0.0005943009052388925]
6 ['https://en.wikipedia.org/wiki/Roman_Catholic_Church', 0.00043872686500467185]
7 ['http://en.wikipedia.org/wiki/Roman_Catholic_Church', 0.00042614452032044335]
8 ['http://www.emmsit.co.uk/', 0.00033828042051367243]
9 ['http://www.imdc.co.uk/', 0.00032952163799071505]
10 ['http://en.wikipedia.org/wiki/Category:Brazilian_Roman_Catholic_diocese_stubs', 0.0003273968031017078]
11 ['http://www.cbcew.org.uk/', 0.00032545980032679816]
12 ['http://www.blueprintforbusiness.org/', 0.00032082605498434647]
13 ['https://en.wikipedia.org/wiki/Category:Brazilian_Roman_Catholic_diocese_stubs', 0.0003203029520514943]
14 ['http://en.wikipedia.org/wiki/Category:Asian_Roman_Catholic_diocese_stubs', 0.00027190590348337266]
15 ['https://en.wikipedia.org/wiki/Category:Asian_Roman_Catholic_diocese_stubs', 0.0002715044043434937]
16 ['https://en.wikipedia.org/wiki/Catholic_Church_by_country', 0.0002571446053747981]
17 ['http://www.catholicherald.co.uk/', 0.0002334106019357068]
18 ['http://en.wikipedia.org/wiki/Catholic_Church_by_country', 0.0002055451479558135]
19 ['https://en.wikipedia.org/wiki/Eastern_Catholic_Churches', 0.00020531882770900058]
20 ['http://en.wikipedia.org/wiki/Category:Former_Roman_Catholic_dioceses_in_Italy', 0.00020123307275956746]
21 ['https://en.wikipedia.org/wiki/The_Church_of_Jesus_Christ_of_Latter-day_Saints', 0.00017051568343826173]
22 ['https://en.wikipedia.org/wiki/Category:Former_Roman_Catholic_dioceses_in_Italy', 0.00017038889096516517]
23 ['http://en.wikipedia.org/wiki/Category:Indian_Roman_Catholic_diocese_stubs', 0.0001580611163832109]
24 ['http://en.wikipedia.org/wiki/Category:European_Roman_Catholic_diocese_stubs', 0.00014810185931350375]
25 ['https://en.wikipedia.org/wiki/Category:Indian_Roman_Catholic_diocese_stubs', 0.00014575069026755011]
26 ['http://catholicnews.org.uk/Home/Images', 0.00014489069337269525]
27 ['http://catholicnews.org.uk/Governance-and-Contact/Contact-Us', 0.00014489069337269525]
28 ['http://catholicnews.org.uk/Home/Donate', 0.00014489069337269525]
29 ['http://catholicnews.org.uk/Governance-and-Contact/Content-Submission', 0.00014489069337269525]
30 ['http://catholicnews.org.uk/Home/Featured', 0.00014489069337269525]
31 ['http://catholicnews.org.uk/Home/Directory', 0.00014489069337269525]
32 ['http://catholicnews.org.uk/Home/Videos', 0.00014489069337269525]
33 ['http://catholicnews.org.uk/Home/Special-Events', 0.00014489069337269525]
34 ['http://catholicnews.org.uk/Home/Podcasts', 0.00014489069337269525]
35 ['http://catholicnews.org.uk/Home/News', 0.00014489069337269525]
36 ['http://catholicnews.org.uk/Governance-and-Contact/Privacy-Policy', 0.00014489069337269525]
